,continent,year,high_blood_sugar,obesity,high_blood_pressure,smoking,air_pollution_outdoor_&_indoor
51,Americas,2013,0.229361977508912,0.20858126544444802,0.2624634896141359,0.21547416587613138,0.08411910155637284
52,Americas,2014,0.23167688735803346,0.2109269191538894,0.2637814422084118,0.21182921903621899,0.08178553224344642
53,Americas,2015,0.2332380100851255,0.21277805236582767,0.2649358643339406,0.20831604990134267,0.08073202331376356
54,Americas,2016,0.2354455162334824,0.21525014648516744,0.2660369024970901,0.20554137523855978,0.07772605954570039
55,Americas,2017,0.2362781848294865,0.216788205020676,0.2670726488387847,0.2022230489178497,0.07763791239320321
56,Asia,1990,0.12760439753784572,0.05193316613385221,0.2741019228267129,0.2555315190755354,0.2908289944260537
57,Asia,1991,0.12884555245478738,0.05284739709578806,0.2744777269716014,0.25770889461643587,0.28612042886138733
58,Asia,1992,0.1306835830270238,0.05401426610274817,0.2749958103223193,0.25928053379365057,0.2810258067542582
59,Asia,1993,0.1323212831827146,0.05532131450708951,0.27537299329034465,0.26131084464597254,0.27567356437387874
60,Asia,1994,0.13400452874338067,0.05669025868759719,0.27581047614454557,0.2627503115932045,0.27074442483127215
61,Asia,1995,0.13570437968589272,0.058285353049682534,0.27661681231194074,0.26429887044702666,0.2650945845054573
62,Asia,1996,0.13742800064745955,0.05997606412300174,0.2776058812866141,0.2651788956743317,0.2598111582685927
63,Asia,1997,0.1395138178586705,0.06163177563639666,0.2788204347031578,0.2651566508922231,0.2548773209095518
64,Asia,1998,0.14107314961155198,0.06353265845476938,0.27985601667940974,0.26567452639239136,0.24986364886187745
65,Asia,1999,0.14303323336095297,0.06595087837102573,0.2816210521107163,0.26552463681410293,0.2438701993432019
66,Asia,2000,0.14544546179086312,0.06784982998061587,0.2837143628682011,0.26485829669249933,0.2381320486678206
67,Asia,2001,0.14900696817885628,0.06938246814530094,0.28537250784029844,0.2632782864920556,0.2329597693434888
68,Asia,2002,0.15395932630348322,0.07137838846093739,0.2867528952035088,0.26048188390190286,0.22742750613016763
69,Asia,2003,0.15921132455674963,0.07322115379081134,0.2877965008750882,0.25791087748280506,0.2218601432945458
70,Asia,2004,0.1639526698779179,0.07553654961291605,0.28873458231767135,0.25490085792325784,0.216875340268237
71,Asia,2005,0.1677818972183625,0.07791182605365567,0.2907869309061422,0.2511103659152455,0.2124089799065942
72,Asia,2006,0.1690366968400243,0.08061715805653337,0.2929863176710934,0.24803781654128035,0.2093220108910686
73,Asia,2007,0.16855065053705712,0.08363982116351687,0.29539782418606464,0.24582689807412345,0.20658480603923787
74,Asia,2008,0.1675144891402578,0.08673377708814231,0.29878175165891274,0.24318399368005145,0.20378598843263568
75,Asia,2009,0.16622588734209187,0.08966906547392768,0.30224105496938475,0.24086987420095254,0.20099411801364325
76,Asia,2010,0.16586686329394051,0.09223398787437914,0.30530231810718755,0.23844720821968474,0.1981496225048081
77,Asia,2011,0.16672350052349727,0.09473353567454353,0.3072438868986199,0.23595529624986122,0.1953437806534779
78,Asia,2012,0.1681865055138771,0.09773252476970269,0.30958408872840915,0.23417527183376796,0.1903216091542432
79,Asia,2013,0.16965105519306986,0.10073072725732919,0.310577206612914,0.23139344000708476,0.18764757092960224
80,Asia,2014,0.17085475711222217,0.10376788584076468,0.3120090845857975,0.2299821901217013,0.18338608233951437
81,Asia,2015,0.17152421808787557,0.10631798208888542,0.3123048335464435,0.22909045969701095,0.18076250657978463
82,Asia,2016,0.17305186379436632,0.10881422365262747,0.31314980575036566,0.22868647784686608,0.17629762895577453
83,Asia,2017,0.1740874159615357,0.1104314602522911,0.3130966444877381,0.22752348732927355,0.17486099196916155
84,Europe,1990,0.17461745778226243,0.12753311520813196,0.34109266496959323,0.27246178046362574,0.08429498157638676
85,Europe,1991,0.17565218757466025,0.12944472479002536,0.3393717476912988,0.27170963757379274,0.08382170237022286
86,Europe,1992,0.17632223827587049,0.13142608149576432,0.33786298943497783,0.27095851904951135,0.08343017174387612
87,Europe,1993,0.17750362129879516,0.13308955217812482,0.3364809333640948,0.26996777136793754,0.08295812179104758
88,Europe,1994,0.17849639479478596,0.1350163943614739,0.33477455776987936,0.26912315350299654,0.08258949957086432
89,Europe,1995,0.17962850746672782,0.1366714238884983,0.3336888920944631,0.2678339327855141,0.0821772437647967
90,Europe,1996,0.18127575727573486,0.13850878314271886,0.33227465896066155,0.26594619726804714,0.08199460335283766
91,Europe,1997,0.18335918897835707,0.14068740446710723,0.3300692110573565,0.2641348284689709,0.08174936702820831
92,Europe,1998,0.18602389342957376,0.1425665812702236,0.3276659753021816,0.26252653487346017,0.08121701512456075
93,Europe,1999,0.188672353717053,0.1444590984096809,0.3250900013598226,0.26101785754526713,0.08076068896817634
94,Europe,2000,0.19101789422726467,0.14600513661342135,0.32326848309926104,0.25966527922793037,0.08004320683212261
95,Europe,2001,0.1926298292731736,0.1475943982461238,0.32133328107771103,0.25871875192971866,0.07972373947327292
96,Europe,2002,0.19431454086683397,0.1491246715475204,0.31984324724980473,0.25705177108115423,0.07966576925468664
97,Europe,2003,0.19573612877881733,0.15075764697282643,0.3176670516004394,0.2561124720906076,0.0797267005573093
98,Europe,2004,0.19654526664214306,0.15265574175739868,0.31502005712078757,0.2562339875483951,0.07954494693127559
99,Europe,2005,0.19790473867459774,0.1540387288406312,0.3130399894965256,0.25549566635926013,0.07952087662898524
100,Europe,2006,0.19972116159827052,0.1552233302380635,0.31051771628040875,0.2549277206598132,0.07961007122344414
101,Europe,2007,0.20236467971129452,0.15629114635455063,0.3080915330512939,0.2535534173863698,0.07969922349649129
102,Europe,2008,0.2051788158514036,0.15732832872988284,0.3057730643947042,0.2519362199513402,0.07978357107266912
103,Europe,2009,0.20752647332773727,0.15837136382608444,0.3037879902019111,0.2503457079913748,0.07996846465289226
104,Europe,2010,0.20933271923489294,0.159286033341545,0.30260199419795064,0.24895170250760523,0.07982755071800618
105,Europe,2011,0.21130928540052227,0.15986122981457168,0.30171130730001616,0.24710635529031472,0.08001182219457524
106,Europe,2012,0.21368373069565014,0.16087157805995783,0.30173085039439385,0.24589663266147735,0.07781720818852092
107,Europe,2013,0.2154924166442887,0.16190152625147547,0.3011643722959601,0.24453145029862727,0.07691023450964846
108,Europe,2014,0.2171796020867829,0.16309110737549629,0.30115552012175656,0.2427744395695151,0.07579933084644909
