continent,year,high_blood_sugar,obesity,high_blood_pressure,smoking,air_pollution_outdoor_&_indoor
Americas,1993,6598140.082560008,6115242.7329888,11194726.431948014,11238134.952287994,3703072.821185992
Americas,1994,6691159.774823997,6280017.479834391,11249556.216816004,11138847.941244015,3702684.227698801
Americas,1995,6836138.361299983,6473071.757439598,11344275.96111601,11110645.122013213,3704897.1180767943
Americas,1996,6933321.413951996,6607843.242038398,11326887.281903978,10984679.522532016,3707156.637856796
Americas,1997,7049429.711579997,6742419.314308795,11285913.392003994,10849831.659658799,3707428.877163599
Americas,1998,7265347.061964015,6953988.533683203,11389452.993852,10821646.660476001,3737276.719627188
Americas,1999,7491795.619092003,7187260.068766788,11519359.437696012,10824097.05105601,3754074.806769596
Americas,2000,7608095.342184009,7328436.281605206,11470961.807028016,10708773.345376795,3717616.520319609
Americas,2001,7795149.57865202,7511472.52944119,11498686.767468004,10672759.452577183,3746362.9773696056
Americas,2002,8053775.843028003,7737302.480007608,11551187.560272004,10684461.795790778,3793958.4195240038
Americas,2003,8311804.040891998,7951475.213580005,11585626.003163991,10671856.915997982,3834146.4666552
Americas,2004,8410140.147515992,8019401.046696004,11407185.800412025,10493804.296810811,3799920.493979995
Americas,2005,8646105.912252018,8208093.989567997,11424951.261384007,10467834.401397591,3800579.9475636054
Americas,2006,8836038.077964002,8329895.167583999,11390838.363312006,10363038.16916759,3808721.6052203947
Americas,2007,9138887.253911965,8487662.517048001,11411884.43584803,10290775.480275618,3824691.8640312073
Americas,2008,9551594.37615602,8734239.465456005,11536867.05542399,10275312.500522386,3873896.7317220015
Americas,2009,9915397.623299986,8974594.07101199,11661774.332195975,10242060.817200003,3922446.922227593
Americas,2010,10106788.78758,9115851.139428008,11754118.462643994,10142896.094389189,3921223.8199427947
Americas,2011,10297766.75839199,9324134.65808398,11926289.127923993,10141117.83976919,4015603.111966802
Americas,2012,10502778.941520015,9536614.916604,12091585.348740023,10115766.108207589,3945234.8398175994
Americas,2013,10769423.622288004,9793689.571572,12323666.440871999,10117337.656321207,3949714.1122775907
Americas,2014,11057420.732675998,10067071.064051988,12589699.478579987,10110135.823509602,3903440.909338804
Americas,2015,11369174.195604006,10371854.66239202,12914284.38776401,10154354.593422005,3935278.1130431923
Americas,2016,11770630.113348002,10761002.785920016,13299985.601291988,10275632.085185999,3885759.693861591
Americas,2017,12107239.505448004,11108544.455916006,13685192.846640015,10362204.57058797,3978280.0969368014
Asia,1990,16008744.668026796,6515330.290184387,34387746.66246595,32057977.01681878,36486259.12320015
Asia,1991,16514876.243685568,6773755.1371368235,35181390.48047279,33032032.69651787,36673702.61068318
Asia,1992,17087246.522148028,7062517.412150429,35956476.664430365,33901659.99971158,36744915.680055656
Asia,1993,17523678.407361623,7326356.737004384,36468417.328066856,34606127.56913045,36508222.799112126
Asia,1994,17983229.706883144,7607757.3920952,37013399.4319739,35260742.70209409,36333542.076944366
Asia,1995,18501713.979856774,7946530.051839609,37713485.410429135,36034077.29012633,36142563.64814153
Asia,1996,19083814.40725678,8328521.634664814,38549488.40030756,36823826.33763364,36078440.36130126
Asia,1997,19904156.339175668,8792881.712767193,39778751.72558524,37829367.117438056,36362835.74314558
Asia,1998,20511731.58072601,9237511.464247204,40690461.0210048,38628502.93058888,36329635.45045801
Asia,1999,20988788.85549123,9677674.400818842,41325254.70564343,38963256.35007004,35785670.23821713
Asia,2000,21783847.198258825,10162093.134613201,42492837.1952854,39668701.88522413,35665823.44554123
Asia,2001,22748069.045893297,10592237.364693645,43566241.17308889,40193238.69617255,35564678.502686486
Asia,2002,24105312.349270724,11175668.211530419,44896715.72291031,40783480.43953336,35608177.84612079
Asia,2003,25603328.184238743,11774949.022966867,46281558.69373459,41475547.40130013,35678103.14741632
Asia,2004,26723725.563033536,12312199.754582431,47062751.36696514,41547969.77685821,35349940.19330991
Asia,2005,27769992.022534914,12895376.818604447,48128855.886111744,41561890.60829746,35156329.588072754
Asia,2006,28197413.725204743,13447940.012822412,48873744.9893185,41375778.533640146,34917502.84539237
Asia,2007,28672448.416986004,14228117.48442121,50250644.83273943,41818047.169081226,35142505.68609242
Asia,2008,29353023.661972865,15198080.024163594,52354562.7081048,42612346.89213598,35708761.499629155
Asia,2009,30054566.505843632,16212666.600219646,54646866.57788426,43550615.185036756,36340856.311342835
Asia,2010,31014073.419207525,17246070.823760454,57085956.295264885,44585272.039689735,37050359.657804415
Asia,2011,32134173.193804726,18258876.721450713,59217976.13016495,45477862.04033029,37650426.365458764
Asia,2012,33165137.220937274,19272132.357065946,61047696.73836493,46177634.765569165,37530016.2425294
Asia,2013,34043672.13957119,20213513.256528005,62323152.56702166,46433441.854421884,37655011.194856755
Asia,2014,35358439.51049767,21474792.83952836,64570366.84560352,47594878.21909898,37951800.75208459
Asia,2015,36757237.50155756,22783694.11557599,66926193.09111117,49093548.01495091,38736981.050255954
Asia,2016,38117988.11594534,23968417.28885039,68977243.65619706,50372577.640669264,38832930.07113124
Asia,2017,38952352.92299641,24709225.476122383,70055902.24733397,50908764.01243692,39125441.85935274
Europe,1990,9017850.846771626,6586252.174196413,17615207.64698756,14070870.856054781,4353285.064630203
Europe,1991,9070290.493480798,6684239.307837589,17524406.49526198,14030484.770508002,4328367.33008436
Europe,1992,9040592.444234395,6738626.1141204005,17323291.828302003,13892890.448607596,4277725.757478
Europe,1993,9092623.803229215,6817512.911800795,17236237.332246017,13829100.308397561,4249530.163662005
Europe,1994,9057039.8188608,6850832.260991989,16986710.03159041,13655508.95443199,4190652.6296684365
Europe,1995,9142214.8855284,6955908.856122012,16983137.027993996,13631440.809109256,4182420.885155874
Europe,1996,9155589.40699199,6995582.678978423,16782003.250245567,13431990.152072385,4141253.8177725677
Europe,1997,9164891.305425603,7032016.10547961,16497937.515230384,13202321.66374324,4086100.441845367
Europe,1998,9204605.368479608,7054304.127993604,16213164.554995188,12990014.926117212,4018680.3944647145
Europe,1999,9275711.510433616,7102052.290687189,15982421.420694018,12832438.340660425,3970443.1385643682
Europe,2000,9195471.677506797,7028588.101290012,15561925.193422789,12500110.16209557,3853225.6068423614
Europe,2001,9150761.624559574,7011381.158186401,15264739.984843206,12290275.268608782,3787227.2352162064
Europe,2002,9217907.428386003,7074187.096247999,15172747.400121596,12194040.752475558,3779190.5995553946
Europe,2003,9271319.034759609,7140849.523974017,15046749.931113621,12131130.069585593,3776368.118993649
Europe,2004,9023374.779807612,7008410.803779587,14462541.312342001,11763678.365164803,3651901.062098154
Europe,2005,9050538.60873361,7044467.312653214,14315880.104691623,11684275.011477588,3636632.295674039
Europe,2006,9043701.376136387,7028766.676743601,14060750.87670719,11543544.808656015,3604874.440526047
Europe,2007,9153831.85669321,7069726.181764798,13936315.833602354,11469320.400951575,3605141.4309884417
Europe,2008,9299977.4596824,7131096.379935583,13859533.182549613,11419313.2322292,3616286.6500124396
Europe,2009,9453344.13114957,7214207.319001196,13838294.30645041,11403866.174033977,3642761.349341644
Europe,2010,9493614.84739798,7223907.741902384,13723544.009125194,11290406.907479996,3620322.821476801
Europe,2011,9602927.974207206,7264876.566440384,13711238.233162804,11229722.003574023,3636128.7397438735
Europe,2012,9743578.953969618,7335443.448006001,13758363.138340782,11212427.109225597,3548319.329197201
Europe,2013,9827378.958736794,7383404.377971607,13734387.78733439,11151683.510890787,3507436.744650122
Europe,2014,9871416.3512832,7412943.981046806,13688355.154187955,11034772.8304728,3445290.196429083
Europe,2015,10236218.793417629,7629367.014001195,14046933.500483958,11195451.089663997,3558779.3713966818
Europe,2016,10355991.38731559,7681600.820767186,14100125.205810014,11116155.010551589,3462557.2143216026
Europe,2017,10472395.868207984,7742653.873240815,14190635.048154008,11082929.393714398,3480132.2529520825
Oceania,1990,223678.56111599985,175725.91888800013,426836.6993520003,403964.96882400016,75141.83684280004
Oceania,1991,218153.62519200004,177694.38680400007,418266.2523599998,390808.2745799997,75238.78354439994
Oceania,1992,219002.1096480001,183635.50949999987,421175.0526240003,387402.1538160001,76871.9163264
Oceania,1993,215673.6130799999,185366.45652000004,413933.8911119999,375265.3909920002,75931.77346079999
Oceania,1994,218338.727124,191413.36095599993,416789.26009200007,371950.6264559999,76649.259852
Oceania,1995,218046.13112399992,194511.03716399998,412039.80042000004,364100.17306799965,75272.66500200005
Oceania,1996,219913.44476399993,199170.82198800016,409475.00651999976,358807.1981519999,77087.64345479995
Oceania,1997,217061.30011199988,201070.01911200015,399950.80462800036,347750.34283200005,76924.00797719997
Oceania,1998,213784.713564,202102.52954400008,388995.11568,336063.5926680002,75564.26177759998
Oceania,1999,212681.30751600003,204037.4736119999,381349.55768399994,327434.2533119997,74269.49654160002
Oceania,2000,212875.4299799998,206470.53649199998,374893.56954,320505.52783199976,72380.21909160001
Oceania,2001,214367.4080880002,208314.10936799986,368521.1427360001,315666.1281599998,71980.51697159998
Oceania,2002,219751.53808800003,213513.097128,367911.28825199994,315391.5923880002,72517.32480719997
Oceania,2003,220313.61809999988,214309.0893240001,358019.63617199997,310053.93988799973,71186.55182879997
Oceania,2004,220802.37784799992,215222.08643999996,348232.31256000017,304662.8480279998,69553.88822159999
Oceania,2005,220771.23291599986,215310.84603599992,337589.8677000001,297651.6547920001,67566.54649560002
Oceania,2006,226532.19932400002,219679.41333600006,335693.8761000002,293763.9549959999,67861.504272
Oceania,2007,238020.079536,229087.790196,341519.5134240002,296814.19726800005,69940.17478919998
Oceania,2008,245704.26512400003,234516.92448000007,341769.81153600017,294358.11728400015,70655.50049280004
Oceania,2009,247648.589208,236715.32090399996,336071.2959359999,288674.1710519999,70015.72385760004
Oceania,2010,247332.90694799993,237270.10105200007,330099.77973599976,284589.6296880001,69270.40784160004
Oceania,2011,251857.3142879999,241993.96816799985,333245.27925599983,284925.3246239999,72642.8774496
Oceania,2012,250177.32489599983,241908.19909200002,329544.3508199999,280982.2981920002,68760.96417480003
Oceania,2013,250456.19650800002,244912.45183200017,329883.19923600025,280907.66088,66643.09836840002
Oceania,2014,258637.73632799997,254201.13525600013,340920.0137039997,287768.9812559999,65751.91381919998
Oceania,2015,266783.59951200004,262494.4818599999,351230.02506,292747.93658399995,66498.8991336
Oceania,2016,275550.93152399996,270930.95516400004,363181.60844399984,297738.182592,64169.315019600035
Oceania,2017,286669.667904,281998.3128360001,377949.7784039997,309170.1025199999,66970.33899
